F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S 10492  1599 29351  0  95  15 -  1025 wait   pts/11   00:00:00 execute1
1 R 10492  1600  1599 99  80   0 -  1025 -      pts/11   00:00:00 execute1
1 R 10492  1601  1599 33  85   5 -  1025 -      pts/11   00:00:00 execute1
1 R 10492  1602  1599 11  90  10 -  1025 -      pts/11   00:00:00 execute1
1 R 10492  1603  1599  3  95  15 -  1025 -      pts/11   00:00:00 execute1
1 S 10492  1604  1599  0  95  15 -  1025 wait   pts/11   00:00:00 execute1
0 S 10492  1605  1599  0  95  15 -  3272 wait   pts/11   00:00:00 sh
0 S 10492  1606  1604  0  95  15 -  3272 wait   pts/11   00:00:00 sh
0 R 10492  1607  1605  0  95  15 -  4501 -      pts/11   00:00:00 ps
0 R 10492  1608  1606  0  95  15 -  4501 -      pts/11   00:00:00 ps
0 S 10492 29351 29348  0  80   0 -  3784 wait   pts/11   00:00:00 bash
